root - INFO - Classification target labels: [' <=50K', ' >50K']
root - INFO - precision:1.000, recall:0.008, fbeta:0.016
root - INFO - Performance on slice workclass
root - INFO -      feature             class  n_samples  precision    recall     fbeta
0  workclass           Private       4568        1.0  0.000978  0.001953
1  workclass       Federal-gov        183        1.0  0.000000  0.000000
2  workclass  Self-emp-not-inc        505        1.0  0.000000  0.000000
3  workclass         State-gov        263        1.0  0.000000  0.000000
4  workclass                 ?        347        1.0  0.000000  0.000000
5  workclass         Local-gov        409        1.0  0.000000  0.000000
6  workclass      Self-emp-inc        230        1.0  0.091603  0.167832
7  workclass       Without-pay          5        1.0  1.000000  1.000000
8  workclass      Never-worked          3        1.0  1.000000  1.000000
root - INFO - Performance on slice education
root - INFO -       feature         class  n_samples  precision    recall     fbeta
0   education          12th         87        1.0  0.000000  0.000000
1   education     Bachelors       1015        1.0  0.006944  0.013793
2   education          10th        185        1.0  0.000000  0.000000
3   education     Assoc-voc        256        1.0  0.000000  0.000000
4   education           9th         96        1.0  0.000000  0.000000
5   education       HS-grad       2098        1.0  0.000000  0.000000
6   education       1st-4th         40        1.0  0.000000  0.000000
7   education    Assoc-acdm        202        1.0  0.000000  0.000000
8   education  Some-college       1487        1.0  0.000000  0.000000
9   education       7th-8th        123        1.0  0.000000  0.000000
10  education     Doctorate         96        1.0  0.057143  0.108108
11  education   Prof-school        120        1.0  0.054945  0.104167
12  education       Masters        377        1.0  0.004525  0.009009
13  education          11th        262        1.0  0.000000  0.000000
14  education       5th-6th         61        1.0  0.000000  0.000000
15  education     Preschool          8        1.0  1.000000  1.000000
root - INFO - Performance on slice marital-status
root - INFO -           feature                  class  n_samples  precision    recall     fbeta
0  marital-status               Divorced        917        1.0  0.000000  0.000000
1  marital-status     Married-civ-spouse       2966        1.0  0.009538  0.018895
2  marital-status          Never-married       2153        1.0  0.000000  0.000000
3  marital-status              Separated        189        1.0  0.000000  0.000000
4  marital-status                Widowed        202        1.0  0.000000  0.000000
5  marital-status  Married-spouse-absent         81        1.0  0.000000  0.000000
6  marital-status      Married-AF-spouse          5        1.0  0.000000  0.000000
root - INFO - Performance on slice occupation
root - INFO -        feature              class  n_samples  precision    recall     fbeta
0   occupation   Transport-moving        316        1.0  0.000000  0.000000
1   occupation              Sales        718        1.0  0.000000  0.000000
2   occupation       Craft-repair        841        1.0  0.000000  0.000000
3   occupation      Other-service        672        1.0  0.000000  0.000000
4   occupation    Farming-fishing        201        1.0  0.000000  0.000000
5   occupation  Machine-op-inspct        381        1.0  0.000000  0.000000
6   occupation                  ?        350        1.0  0.000000  0.000000
7   occupation    Protective-serv        118        1.0  0.000000  0.000000
8   occupation       Adm-clerical        791        1.0  0.000000  0.000000
9   occupation    Exec-managerial        814        1.0  0.009709  0.019231
10  occupation     Prof-specialty        853        1.0  0.022670  0.044335
11  occupation  Handlers-cleaners        248        1.0  0.000000  0.000000
12  occupation       Tech-support        178        1.0  0.000000  0.000000
13  occupation    Priv-house-serv         30        1.0  0.000000  0.000000
14  occupation       Armed-Forces          2        1.0  1.000000  1.000000
root - INFO - Performance on slice relationship
root - INFO -         feature           class  n_samples  precision    recall     fbeta
0  relationship       Unmarried        670        1.0  0.000000  0.000000
1  relationship         Husband       2603        1.0  0.010824  0.021417
2  relationship   Not-in-family       1706        1.0  0.000000  0.000000
3  relationship       Own-child       1024        1.0  0.000000  0.000000
4  relationship            Wife        331        1.0  0.000000  0.000000
5  relationship  Other-relative        179        1.0  0.000000  0.000000
root - INFO - Performance on slice race
root - INFO -   feature               class  n_samples  precision    recall     fbeta
0    race               Black        627        1.0  0.000000  0.000000
1    race               White       5579        1.0  0.008259  0.016382
2    race  Amer-Indian-Eskimo         60        1.0  0.000000  0.000000
3    race               Other         52        1.0  0.000000  0.000000
4    race  Asian-Pac-Islander        195        1.0  0.020408  0.040000
root - INFO - Performance on slice sex
root - INFO -   feature   class  n_samples  precision    recall     fbeta
0     sex    Male       4312        1.0  0.009623  0.019062
1     sex  Female       2201        1.0  0.000000  0.000000
root - INFO - Performance on slice native-country
root - INFO -            feature                       class  n_samples  precision    recall    fbeta
0   native-country               United-States       5850        1.0  0.008247  0.01636
1   native-country                      Mexico        129        1.0  0.000000  0.00000
2   native-country                       Haiti          8        1.0  0.000000  0.00000
3   native-country                    Columbia         10        1.0  1.000000  1.00000
4   native-country                     Hungary          2        1.0  1.000000  1.00000
5   native-country                       India         24        1.0  0.111111  0.20000
6   native-country          Dominican-Republic         10        1.0  1.000000  1.00000
7   native-country                    Thailand          6        1.0  0.000000  0.00000
8   native-country                     Vietnam         19        1.0  0.000000  0.00000
9   native-country                           ?        106        1.0  0.000000  0.00000
10  native-country                        Cuba         20        1.0  0.000000  0.00000
11  native-country                       South         15        1.0  0.000000  0.00000
12  native-country                   Nicaragua         10        1.0  0.000000  0.00000
13  native-country                 El-Salvador         18        1.0  0.000000  0.00000
14  native-country                   Guatemala         12        1.0  1.000000  1.00000
15  native-country                 Puerto-Rico         19        1.0  0.000000  0.00000
16  native-country                       China         16        1.0  0.000000  0.00000
17  native-country                     Jamaica         15        1.0  0.000000  0.00000
18  native-country                 Philippines         29        1.0  0.000000  0.00000
19  native-country                       Italy         13        1.0  0.000000  0.00000
20  native-country                      Canada         22        1.0  0.000000  0.00000
21  native-country                    Cambodia          5        1.0  0.000000  0.00000
22  native-country                        Peru          5        1.0  1.000000  1.00000
23  native-country                      France          7        1.0  0.000000  0.00000
24  native-country                     England         23        1.0  0.000000  0.00000
25  native-country                     Ireland          3        1.0  1.000000  1.00000
26  native-country                       Japan          7        1.0  0.000000  0.00000
27  native-country                        Iran          8        1.0  0.000000  0.00000
28  native-country                     Germany         27        1.0  0.000000  0.00000
29  native-country                        Laos          4        1.0  0.000000  0.00000
30  native-country                      Poland         15        1.0  0.000000  0.00000
31  native-country                      Taiwan         11        1.0  0.000000  0.00000
32  native-country                     Ecuador         11        1.0  0.000000  0.00000
33  native-country                    Scotland          2        1.0  0.000000  0.00000
34  native-country                        Hong          5        1.0  1.000000  1.00000
35  native-country                    Portugal          8        1.0  0.000000  0.00000
36  native-country             Trinadad&Tobago          4        1.0  1.000000  1.00000
37  native-country  Outlying-US(Guam-USVI-etc)          5        1.0  1.000000  1.00000
38  native-country                      Greece          5        1.0  0.000000  0.00000
39  native-country                  Yugoslavia          2        1.0  0.000000  0.00000
40  native-country                    Honduras          3        1.0  1.000000  1.00000
